time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV]
0.668067,0.750000,0,116,0,136,-307,19908,0,112,0,136,0,100,0,112
0.684362,0.760000,0,112,0,136,-300,19908,0,108,0,128,0,104,0,112
0.693192,0.770000,0,116,0,136,-289,19912,0,108,0,132,0,104,0,112
0.702038,0.780000,0,116,0,136,-301,19908,0,112,0,132,0,104,0,108
0.711107,0.790000,0,112,0,136,-303,19908,0,112,0,132,0,104,0,112
0.719666,0.800000,0,116,0,136,-291,19908,0,108,0,132,0,104,0,112
0.728371,0.810000,0,116,0,136,-321,19908,0,108,0,132,0,104,0,112
0.736568,0.820000,0,116,0,132,-300,19908,0,108,0,136,0,100,0,112
0.745045,0.830000,0,116,0,136,-292,19904,0,112,0,132,0,104,0,112
0.753353,0.839999,0,116,0,136,-334,19900,0,112,0,136,0,100,0,112
0.761914,0.849999,0,116,0,136,-349,19900,0,112,0,132,0,104,0,112
0.770350,0.859999,0,116,0,136,-323,19904,0,112,0,132,0,104,0,112
0.779084,0.869999,0,116,0,136,-313,19908,0,112,0,132,0,104,0,112
0.787672,0.879999,0,116,0,132,-321,19904,0,108,0,132,0,100,0,112
0.796154,0.889999,0,116,0,136,-311,19904,0,112,0,136,0,100,0,112
0.804697,0.899999,0,116,0,136,-303,19908,0,112,0,132,0,104,0,112
0.813178,0.909999,0,116,0,136,-298,19908,0,112,0,132,0,100,0,116
0.821753,0.919999,0,116,0,136,-327,19904,0,112,0,136,0,100,0,112
0.830490,0.929999,0,116,0,136,-326,19904,0,108,0,132,0,100,0,112
0.839113,0.939999,0,116,0,136,-327,19904,0,112,0,132,0,104,0,112
0.848019,0.949999,0,116,0,136,-303,19908,0,108,0,132,0,100,0,112
0.858386,0.959999,0,112,0,132,-317,19908,0,108,0,136,0,104,0,112
0.866889,0.969999,0,116,0,136,-304,19908,0,112,0,136,0,104,0,108
0.875540,0.979999,0,116,0,136,-298,19908,0,112,0,132,0,100,0,112
0.884740,0.989999,0,116,0,140,-296,19908,0,112,0,132,0,100,0,112
0.893944,0.999999,0,120,0,136,-301,19908,0,112,0,132,0,104,0,112
0.902888,1.009999,0,116,0,136,-293,19904,0,112,0,136,0,100,0,112
0.911864,1.019999,0,116,0,136,-296,19908,0,112,0,132,0,100,0,116
0.920400,1.029999,0,116,0,136,-287,19908,0,112,0,136,0,104,0,112
0.929009,1.039999,0,116,0,140,-321,19908,0,108,0,132,0,104,0,112
0.937680,1.049999,0,112,0,136,-302,19912,0,112,0,132,0,100,0,112
0.946650,1.059999,0,116,0,136,-317,19908,0,108,0,132,0,104,0,112
0.955811,1.069999,0,116,0,136,-301,19904,0,112,0,132,0,100,0,112
0.964893,1.079999,0,116,0,136,-309,19908,0,112,0,132,0,104,0,112
0.974982,1.089999,0,116,0,136,-321,19904,0,112,0,132,0,104,0,112
0.985687,1.099999,0,116,0,136,-319,19904,0,108,0,132,0,100,0,112
0.995011,1.109999,0,112,0,136,-312,19900,0,112,0,136,0,104,0,112
1.004024,1.119999,0,116,0,136,-296,19904,0,112,0,132,0,100,0,112
1.013135,1.129999,0,116,0,140,-290,19904,0,112,0,132,0,100,0,112
1.021776,1.139999,0,116,0,136,-303,19904,0,112,0,128,0,100,0,112
1.030719,1.149999,0,116,0,136,-290,19904,0,112,0,136,0,100,0,112
1.039710,1.159999,0,116,0,140,-303,19908,0,112,0,136,0,104,0,112
1.048500,1.169999,0,116,0,136,-294,19904,0,112,0,136,0,104,0,112
1.057225,1.179999,0,116,0,140,-317,19904,0,112,0,132,0,100,0,112
1.065758,1.189999,0,116,0,136,-315,19908,0,108,0,132,0,104,0,112
1.074293,1.199999,0,116,0,132,-302,19908,0,108,0,132,0,100,0,112
1.083038,1.209999,0,116,0,136,-314,19904,0,112,0,132,0,100,0,112
1.091608,1.219999,0,116,0,136,-317,19908,0,108,0,136,0,104,0,112
1.100397,1.229999,0,116,0,136,-298,19904,0,112,0,136,0,100,0,112
1.109181,1.239999,0,116,0,136,-323,19904,0,112,0,132,0,104,0,112
1.117837,1.249999,0,116,0,136,-317,19904,0,112,0,132,0,104,0,112
1.126942,1.259999,0,116,0,132,-322,19904,0,112,0,132,0,104,0,116
1.135475,1.269999,0,116,0,136,-294,19904,0,112,0,132,0,104,0,112
1.143915,1.279999,0,116,0,132,-306,19908,0,112,0,136,0,100,0,112
1.152174,1.289999,0,116,0,132,-294,19904,0,112,0,136,0,100,0,112
1.160590,1.299999,0,116,0,136,-306,19908,0,108,0,132,0,104,0,112
1.169250,1.309999,0,116,0,136,-315,19904,0,108,0,132,0,100,0,112
1.177928,1.319999,0,116,0,136,-313,19908,0,108,0,132,0,104,0,112
1.186634,1.329999,0,112,0,136,-318,19908,0,112,0,132,0,100,0,108
1.195427,1.339999,0,112,0,132,-292,19908,0,112,0,136,0,100,0,112
1.204011,1.349999,0,112,0,136,-299,19908,0,108,0,132,0,100,0,112
1.213339,1.359999,0,116,0,136,-286,19904,0,108,0,136,0,100,0,112
1.222329,1.369999,0,116,0,132,-308,19900,0,112,0,132,0,104,0,112
1.231289,1.379999,0,116,0,136,-300,19904,0,108,0,136,0,104,0,112
1.240269,1.389999,0,116,0,136,-311,19908,0,112,0,132,0,104,0,112
1.248876,1.399999,0,120,0,132,-295,19908,0,108,0,136,0,104,0,112
1.257838,1.409999,0,116,0,140,-311,19904,0,112,0,136,0,104,0,112
1.266550,1.419999,0,116,0,136,-317,19904,0,108,0,136,0,104,0,112
1.275320,1.429999,0,116,0,136,-306,19908,0,112,0,132,0,100,0,112
1.284035,1.439999,0,116,0,136,-316,19904,0,112,0,132,0,100,0,112
1.292727,1.449999,0,116,0,136,-312,19908,0,112,0,132,0,100,0,112
1.301909,1.459999,0,116,0,136,-310,19908,0,108,0,132,0,104,0,112
1.310860,1.469999,0,116,0,140,-299,19908,0,112,0,132,0,104,0,112
1.321570,1.479999,0,112,0,136,-302,19908,0,112,0,136,0,100,0,112
1.330961,1.489999,0,112,0,136,-305,19908,0,108,0,132,0,100,0,112
1.339869,1.499999,0,116,0,136,-322,19908,0,112,0,132,0,100,0,112
1.348799,1.509999,0,116,0,136,-322,19908,0,116,0,132,0,104,0,112
1.357663,1.519999,0,116,0,136,-310,19904,0,112,0,132,0,104,0,112
1.366658,1.529999,0,116,0,136,-331,19904,0,112,0,132,0,104,0,108
1.375485,1.539999,0,112,0,136,-300,19908,0,112,0,132,0,104,0,108
1.384086,1.549999,0,116,0,136,-305,19908,0,108,0,136,0,104,0,112
1.392594,1.559999,0,116,0,136,-319,19904,0,112,0,132,0,100,0,112
1.401122,1.569999,0,112,0,136,-304,19908,0,112,0,128,0,104,0,112
1.409484,1.579999,0,116,0,136,-294,19908,0,112,0,136,0,104,0,112
