time[sec],count,Voltage[V],Ampare[A],Wattage[W]
1.0816219999999999,1.369999,0.132,0.0,0.0
1.0893620000000002,1.379999,0.132,0.0,0.0
1.097062,1.389999,0.132,0.0,0.0
1.1048069999999999,1.399999,0.132,0.0,0.0
1.112482,1.409999,0.132,0.0,0.0
1.120157,1.419999,0.128,0.0,0.0
1.128136,1.429999,0.128,0.0,0.0
1.1358469999999998,1.439999,0.132,0.0,0.0
1.1434440000000001,1.449999,0.132,0.0,0.0
1.151157,1.459999,0.132,0.0,0.0
1.158835,1.469999,0.132,0.0,0.0
1.166448,1.479999,0.128,0.0,0.0
1.174241,1.489999,0.132,0.0,0.0
1.181946,1.499999,0.132,0.0,0.0
1.1896930000000001,1.5099989999999999,0.132,0.0,0.0
1.197392,1.5199989999999999,0.132,0.0,0.0
1.20509,1.5299989999999999,0.132,0.0,0.0
1.212988,1.539999,0.132,0.0,0.0
1.221119,1.549999,0.128,0.0,0.0
1.229033,1.559999,0.128,0.0,0.0
1.23695,1.569999,0.132,0.0,0.0
1.244828,1.579999,0.132,0.0,0.0
1.25272,1.589999,0.132,0.0,0.0
1.260621,1.599999,0.128,0.0,0.0
1.2685030000000002,1.609999,0.132,0.0,0.0
1.2763950000000002,1.619999,0.128,0.0,0.0
1.2844209999999998,1.629999,0.132,0.0,0.0
1.292435,1.6399990000000002,0.132,0.0,0.0
1.300297,1.6499990000000002,0.132,0.0,0.0
1.308381,1.6599990000000002,0.128,0.0,0.0
1.316203,1.6699990000000002,0.132,0.0,0.0
1.324233,1.6799990000000002,0.132,0.0,0.0
1.332107,1.6899990000000003,0.132,0.0,0.0
1.339952,1.6999990000000003,0.132,0.0,0.0
1.347689,1.7099990000000003,0.128,0.0,0.0
1.3553469999999999,1.719999,0.128,0.0,0.0
1.363142,1.729999,0.128,0.0,0.0
1.37115,1.739999,0.132,0.0,0.0
1.379091,1.749999,0.132,0.0,0.0
1.386949,1.759999,0.132,0.0,0.0
1.394825,1.769999,0.132,0.0,0.0
1.4028690000000001,1.779999,0.128,0.0,0.0
1.410554,1.7899990000000001,0.132,0.0,0.0
1.4182,1.7999990000000001,0.128,0.0,0.0
1.425836,1.8099990000000001,0.132,0.0,0.0
1.4335149999999999,1.8199990000000001,0.132,0.0,0.0
1.44118,1.8299990000000002,0.132,0.0,0.0
1.448948,1.8399990000000002,0.132,0.0,0.0
1.457092,1.8499990000000002,0.128,0.0,0.0
1.464724,1.8599990000000002,0.132,0.0,0.0
1.472365,1.8699990000000002,0.128,0.0,0.0
1.48004,1.8799990000000002,0.132,0.0,0.0
1.487684,1.8899990000000002,0.128,0.0,0.0
1.495441,1.8999990000000002,0.128,0.0,0.0
1.5030700000000001,1.9099990000000002,0.132,0.0,0.0
1.5108139999999999,1.9199990000000002,0.132,0.0,0.0
1.518498,1.9299990000000002,0.128,0.0,0.0
1.526111,1.9399990000000003,0.132,0.0,0.0
1.533743,1.949998,0.132,0.0,0.0
1.541397,1.959998,0.132,0.0,0.0
1.54904,1.969998,0.132,0.0,0.0
1.55672,1.979998,0.132,0.0,0.0
1.5644069999999999,1.989998,0.132,0.0,0.0
1.572355,1.999998,0.132,0.0,0.0
1.5802459999999998,2.009999,0.132,0.0,0.0
1.588108,2.0199990000000003,0.132,0.0,0.0
1.595974,2.029999,0.132,0.0,0.0
1.6038370000000002,2.0399990000000003,0.132,0.0,0.0
1.611834,2.049999,0.132,0.0,0.0
1.619892,2.0599990000000004,0.132,0.0,0.0
1.627823,2.069999,0.132,0.0,0.0
1.635745,2.079998,0.128,0.0,0.0
1.643659,2.089998,0.132,0.0,0.0
1.651647,2.099998,0.128,0.0,0.0
1.6601860000000002,2.109998,0.132,0.0,0.0
1.668549,2.119998,0.128,0.0,0.0
1.6767740000000002,2.129998,0.128,0.0,0.0
1.6851759999999998,2.139998,0.132,0.0,0.0
1.6937229999999999,2.149998,0.132,0.0,0.0
1.7019380000000002,2.159998,0.132,0.0,0.0
1.709911,2.169998,0.128,0.0,0.0
1.717771,2.179998,0.132,0.0,0.0
1.7258919999999998,2.189998,0.132,0.0,0.0
1.7337060000000002,2.199998,0.132,0.0,0.0
1.7416470000000002,2.209998,0.132,0.0,0.0
1.7495290000000001,2.219998,0.128,0.0,0.0
1.757339,2.229998,0.132,0.0,0.0
1.7651029999999999,2.239998,0.132,0.0,0.0
1.772982,2.249998,0.132,0.0,0.0
1.7809830000000002,2.259998,0.132,0.0,0.0
1.788829,2.2699979999999997,0.128,0.0,0.0
1.7967380000000002,2.279998,0.132,0.0,0.0
1.804568,2.2899979999999998,0.132,0.0,0.0
1.812502,2.299998,0.128,0.0,0.0
1.8204189999999998,2.3099979999999998,0.132,0.0,0.0
1.8286689999999999,2.319998,0.132,0.0,0.0
1.836661,2.329998,0.132,0.0,0.0
1.844575,2.339998,0.132,0.0,0.0
1.852428,2.349998,0.132,0.0,0.0
1.8602900000000002,2.359998,0.132,0.0,0.0
1.868136,2.369998,0.132,0.0,0.0
1.8760189999999999,2.379998,0.132,0.0,0.0
1.8839130000000002,2.389998,0.132,0.0,0.0
1.891907,2.399998,0.132,0.0,0.0
1.899779,2.409998,0.128,0.0,0.0
1.9078650000000001,2.419998,0.128,0.0,0.0
1.9170490000000002,2.429998,0.132,0.0,0.0
1.925589,2.439998,0.132,0.0,0.0
1.934204,2.449998,0.132,0.0,0.0
1.942584,2.459998,0.132,0.0,0.0
1.950898,2.469998,0.128,0.0,0.0
1.9588740000000002,2.479998,0.132,0.0,0.0
1.966745,2.489998,0.132,0.0,0.0
1.974905,2.499998,0.128,0.0,0.0
1.98315,2.509998,0.132,0.0,0.0
1.991012,2.5199979999999997,0.132,0.0,0.0
1.998922,2.529998,0.132,0.0,0.0
2.00678,2.5399979999999998,0.132,0.0,0.0
2.01464,2.549998,0.132,0.0,0.0
2.022576,2.5599979999999998,0.128,0.0,0.0
2.030583,2.569998,0.132,0.0,0.0
2.038624,2.579998,0.128,0.0,0.0
2.046493,2.589998,0.132,0.0,0.0
2.0543560000000003,2.599998,0.128,0.0,0.0
2.062214,2.609998,0.128,0.0,0.0
2.070125,2.619998,0.128,0.0,0.0
2.077989,2.629998,0.132,0.0,0.0
2.0859259999999997,2.639998,0.128,0.0,0.0
2.093799,2.649998,0.132,0.0,0.0
2.1017099999999997,2.659998,0.132,0.0,0.0
2.109639,2.669998,0.132,0.0,0.0
2.117525,2.679998,0.128,0.0,0.0
2.1254060000000004,2.689998,0.132,0.0,0.0
2.1332619999999998,2.699998,0.132,0.0,0.0
2.141194,2.709998,0.132,0.0,0.0
2.14908,2.719998,0.128,0.0,0.0
2.156975,2.729998,0.132,0.0,0.0
2.164862,2.739998,0.132,0.0,0.0
2.172965,2.749998,0.128,0.0,0.0
2.181022,2.759998,0.136,0.0,0.0
2.189035,2.7699979999999997,0.132,0.0,0.0
2.19709,2.779998,0.132,0.0,0.0
2.2051220000000002,2.7899979999999998,0.132,0.0,0.0
2.213355,2.799998,0.128,0.0,0.0
2.2213220000000002,2.8099979999999998,0.132,0.0,0.0
2.229289,2.819998,0.132,0.0,0.0
2.237232,2.829998,0.132,0.0,0.0
2.245168,2.839998,0.128,0.0,0.0
2.253109,2.849998,0.132,0.0,0.0
2.261389,2.859998,0.132,0.0,0.0
2.269376,2.869998,0.128,0.0,0.0
2.277356,2.879998,0.132,0.0,0.0
2.285475,2.889998,0.132,0.0,0.0
2.293462,2.899998,0.132,0.0,0.0
2.301989,2.909998,0.132,0.0,0.0
2.309959,2.919998,0.132,0.0,0.0
2.317925,2.929998,0.132,0.0,0.0
2.3259060000000003,2.939998,0.132,0.0,0.0
2.333864,2.949998,0.132,0.0,0.0
2.341879,2.959998,0.132,0.0,0.0
2.349949,2.969998,0.132,0.0,0.0
2.357997,2.979998,0.132,0.0,0.0
2.365986,2.989998,0.128,0.0,0.0
2.3741529999999997,2.999998,0.132,0.0,0.0
2.382044,3.009998,0.128,0.0,0.0
2.389919,3.0199979999999997,0.128,0.0,0.0
2.397775,3.029998,0.132,0.0,0.0
2.405664,3.0399979999999998,0.128,0.0,0.0
2.4135419999999996,3.049998,0.128,0.0,0.0
2.421423,3.0599979999999998,0.132,0.0,0.0
2.42945,3.069998,0.132,0.0,0.0
2.437313,3.079998,0.132,0.0,0.0
2.445173,3.089998,0.132,0.0,0.0
2.453389,3.099998,0.132,0.0,0.0
2.461415,3.109998,0.132,0.0,0.0
2.46932,3.119998,0.128,0.0,0.0
2.477189,3.129997,0.132,0.0,0.0
2.485042,3.139997,0.132,0.0,0.0
2.4929200000000002,3.149997,0.132,0.0,0.0
2.500816,3.159997,0.132,0.0,0.0
2.50886,3.169997,0.128,0.0,0.0
2.516785,3.179997,0.132,0.0,0.0
2.524641,3.189997,0.132,0.0,0.0
2.532525,3.199997,0.132,0.0,0.0
2.540427,3.209997,0.132,0.0,0.0
2.548449,3.219997,0.132,0.0,0.0
2.5563830000000003,3.229997,0.132,0.0,0.0
2.5643700000000003,3.2399970000000002,0.128,0.0,0.0
2.572252,3.249997,0.132,0.0,0.0
2.58042,3.2599970000000003,0.128,0.0,0.0
2.5882810000000003,3.269997,0.128,0.0,0.0
2.596143,3.2799970000000003,0.132,0.0,0.0
2.6040509999999997,3.289997,0.132,0.0,0.0
2.611929,3.2999970000000003,0.132,0.0,0.0
2.6202419999999997,3.309997,0.132,0.0,0.0
2.628425,3.3199970000000003,0.132,0.0,0.0
2.636422,3.329997,0.128,0.0,0.0
2.644627,3.3399970000000003,0.132,0.0,0.0
2.65265,3.349997,0.132,0.0,0.0
2.66055,3.359997,0.132,0.0,0.0
2.668532,3.369997,0.128,0.0,0.0
2.6764330000000003,3.379997,0.132,0.0,0.0
2.684309,3.389997,0.132,0.0,0.0
2.692193,3.399997,0.128,0.0,0.0
2.7000580000000003,3.409997,0.132,0.0,0.0
2.708017,3.419997,0.132,0.0,0.0
2.7159310000000003,3.429997,0.132,0.0,0.0
2.72416,3.439997,0.132,0.0,0.0
2.7322319999999998,3.449997,0.128,0.0,0.0
2.740223,3.459997,0.132,0.0,0.0
2.748098,3.469997,0.132,0.0,0.0
2.756049,3.479997,0.132,0.0,0.0
2.7639139999999998,3.4899970000000002,0.132,0.0,0.0
2.77209,3.499997,0.132,0.0,0.0
2.780341,3.5099970000000003,0.132,0.0,0.0
2.788484,3.519997,0.128,0.0,0.0
2.796652,3.5299970000000003,0.132,0.0,0.0
2.8048029999999997,3.539997,0.132,0.0,0.0
2.812923,3.5499970000000003,0.128,0.0,0.0
2.821068,3.559997,0.132,0.0,0.0
2.8293470000000003,3.5699970000000003,0.132,0.0,0.0
2.837262,3.579997,0.132,0.0,0.0
2.845709,3.5899970000000003,0.132,0.0,0.0
2.853652,3.599997,0.132,0.0,0.0
2.861611,3.609997,0.128,0.0,0.0
2.869573,3.619997,0.128,0.0,0.0
2.877442,3.629997,0.132,0.0,0.0
