time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
1.065395,1.089999,-223,19428,0,124,0,100,10,5076,0,104,0,108,0,108,65.000000
1.076209,1.099999,-226,19428,0,120,0,104,0,5072,0,108,0,112,0,108,64.000000
1.086096,1.109999,-194,19436,0,120,0,104,10,5072,0,108,0,108,0,104,63.000000
1.095907,1.119999,-202,19428,0,120,0,108,10,5072,0,108,0,108,0,104,62.000000
1.106475,1.129999,-239,19432,0,116,0,104,0,5076,0,108,0,112,0,108,61.000000
1.117695,1.139999,-268,19432,0,120,0,104,10,5076,0,108,0,108,0,104,59.000000
1.132971,1.149999,-207,19432,0,120,0,104,0,5076,0,104,0,112,0,104,58.000000
1.144545,1.159999,-214,19432,0,116,0,100,0,5072,0,108,0,108,0,104,57.000000
1.156119,1.169999,-220,19432,0,116,0,100,0,5076,0,108,0,108,0,108,55.000000
1.167047,1.179999,-221,19432,0,120,0,104,10,5076,0,108,0,112,0,104,54.000000
1.178269,1.189999,-213,19432,0,120,0,104,10,5072,0,108,0,112,0,104,52.000000
1.190659,1.199999,-236,19428,0,120,0,104,10,5076,0,104,0,108,0,104,51.000000
1.201283,1.209999,-218,19432,0,120,0,104,0,5072,0,108,0,108,0,104,49.000000
1.212189,1.219999,-211,19432,0,120,0,104,17,5072,0,108,0,112,0,104,47.000000
1.223882,1.229999,-257,19424,0,116,0,104,67,5072,0,108,0,108,0,104,45.000000
1.234797,1.239999,-272,19424,0,120,0,104,67,5072,0,104,0,108,0,108,43.000000
1.245641,1.249999,-221,19432,0,120,0,104,91,5072,0,104,0,108,0,104,41.000000
1.257061,1.259999,-250,19428,0,120,0,104,91,5072,0,108,0,112,0,104,39.000000
1.325219,1.269999,-270,19428,0,120,0,104,137,5068,0,108,0,108,0,104,37.000000
1.336209,1.279999,-304,19420,0,120,0,104,137,5072,0,108,0,108,0,108,35.000000
1.345981,1.289999,-249,19432,0,120,0,104,160,5068,0,108,0,108,0,108,33.000000
1.355888,1.299999,-306,19420,0,120,0,104,160,5072,0,104,0,108,0,104,31.000000
1.366516,1.309999,-306,19428,0,120,0,100,160,5068,0,108,0,108,0,104,29.000000
1.377430,1.319999,-292,19424,0,120,0,104,180,5068,0,104,0,108,0,104,26.000000
1.388861,1.329999,-296,19424,0,116,0,104,183,5072,0,108,0,108,0,104,24.000000
1.399466,1.339999,-302,19424,0,116,0,104,183,5068,0,108,0,112,0,104,21.000000
1.410143,1.349999,-305,19420,0,120,0,104,198,5068,0,108,0,108,0,108,19.000000
1.418240,1.359999,-282,19424,0,120,0,100,206,5068,0,104,0,108,0,108,16.000000
1.426227,1.369999,-320,19428,0,120,0,104,208,5072,0,104,0,108,0,104,14.000000
1.435187,1.379999,-343,19416,0,116,0,104,206,5068,0,108,0,108,0,108,11.000000
1.443639,1.389999,-355,19424,0,120,0,104,230,5068,0,108,0,112,0,104,8.000000
1.451513,1.399999,-327,19428,0,120,0,104,230,5068,0,108,0,108,0,108,5.000000
1.459497,1.409999,-303,19420,0,120,0,104,228,5068,0,104,0,108,0,108,2.000000
