time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
0.797423,0.680000,-228,19564,0,124,0,112,18,5072,0,112,0,116,0,108,0.000000
0.808753,0.690000,-234,19552,0,128,0,108,17,5076,0,112,0,116,0,112,0.000000
0.819202,0.700000,-203,19564,0,132,0,112,17,5072,0,116,0,120,0,112,0.000000
0.829792,0.710000,-217,19572,0,128,0,112,31,9104,0,116,0,116,0,112,0.000000
0.841590,0.720000,-246,19552,0,128,0,108,31,9104,0,112,0,116,0,112,0.000000
0.910599,0.730000,-242,19560,0,128,0,108,33,9104,0,116,0,116,0,116,0.000000
0.921260,0.740000,-215,19556,0,128,0,108,33,9108,0,116,0,116,0,116,0.000000
0.931857,0.750000,-211,19560,0,128,0,112,34,9104,0,112,0,116,0,112,0.000000
0.943751,0.760000,-241,19560,0,128,0,108,33,9104,0,116,0,116,0,112,0.000000
0.955039,0.770000,-257,19548,0,128,0,112,32,9104,0,116,0,116,0,112,0.000000
0.966018,0.780000,-210,19552,0,128,0,108,518,9104,0,116,0,116,0,112,0.000000
0.978256,0.790000,-755,19460,0,128,0,112,983,9076,0,116,0,116,0,112,0.000000
0.990542,0.800000,-766,19468,0,128,0,112,983,9076,0,112,0,116,0,112,0.000000
1.001153,0.810000,-762,19472,0,124,0,108,982,9076,0,112,0,116,0,112,0.000000
1.013502,0.820000,-758,19472,0,128,0,108,983,9076,0,112,0,116,0,112,0.000000
1.024646,0.830000,-784,19468,0,128,0,108,984,9076,0,112,0,116,0,112,0.000000
1.035466,0.839999,-714,19476,0,124,0,108,961,9072,0,112,0,116,0,112,0.000000
1.047541,0.849999,-757,19476,0,128,0,108,961,9076,0,112,0,116,0,108,0.000000
1.059169,0.859999,-750,19472,0,128,0,112,962,9076,0,116,0,116,0,112,0.000000
1.070205,0.869999,-716,19476,0,128,0,108,964,9072,0,112,0,116,0,112,0.000000
1.082007,0.879999,-755,19472,0,128,0,108,964,9076,0,112,0,116,0,112,0.000000
1.094184,0.889999,-768,19472,0,128,0,108,959,9076,0,116,0,116,0,116,0.000000
1.104776,0.899999,-720,19476,0,124,0,108,964,9076,0,112,0,116,0,112,0.000000
1.115539,0.909999,-738,19476,0,128,0,108,962,9076,0,112,0,120,0,112,0.000000
1.127236,0.919999,-736,19476,0,124,0,108,940,9080,0,112,0,116,0,112,0.000000
1.138156,0.929999,-752,19476,0,128,0,108,938,9076,0,116,0,116,0,112,0.000000
1.148781,0.939999,-705,19484,0,128,0,112,939,9076,0,112,0,116,0,116,0.000000
1.160460,0.949999,-727,19476,0,128,0,112,938,9076,0,112,0,116,0,112,0.000000
1.170997,0.959999,-758,19472,0,128,0,112,939,9076,0,116,0,116,0,112,0.000000
1.180897,0.969999,-707,19480,0,128,0,112,941,9076,0,112,0,116,0,112,0.000000
1.191076,0.979999,-726,19476,0,128,0,108,939,9076,0,112,0,116,0,112,0.000000
1.201812,0.989999,-727,19480,0,128,0,112,939,9076,0,112,0,116,0,112,0.000000
1.212121,0.999999,-756,19472,0,128,0,112,941,9076,0,112,0,116,0,112,0.000000
1.221935,1.009999,-731,19476,0,124,0,112,919,9080,0,112,0,116,0,112,124.000000
1.232343,1.019999,-731,19472,0,128,0,108,916,9080,0,112,0,116,0,108,125.000000
1.243034,1.029999,-762,19468,0,124,0,108,920,9076,0,112,0,116,0,116,126.000000
1.252818,1.039999,-729,19472,0,128,0,108,917,9080,0,116,0,116,0,112,127.000000
1.262838,1.049999,-735,19484,0,124,0,112,918,9076,0,116,0,116,0,112,128.000000
1.273746,1.059999,-730,19476,0,128,0,108,918,9080,0,116,0,116,0,112,128.000000
1.284231,1.069999,-767,19472,0,124,0,112,917,9076,0,116,0,116,0,116,129.000000
1.294426,1.079999,-723,19476,0,124,0,108,918,9076,0,112,0,116,0,116,130.000000
1.305520,1.089999,-734,19472,0,128,0,108,917,9076,0,112,0,116,0,112,130.000000
1.316122,1.099999,-743,19472,0,128,0,108,919,9076,0,116,0,116,0,112,130.000000
1.326268,1.109999,-700,19476,0,128,0,112,896,9076,0,116,0,116,0,112,130.000000
1.336696,1.119999,-728,19472,0,124,0,112,894,9076,0,112,0,116,0,112,130.000000
1.347858,1.129999,-743,19472,0,128,0,112,895,9076,0,116,0,116,0,112,130.000000
1.358724,1.139999,-682,19484,0,128,0,112,897,9080,0,116,0,116,0,112,130.000000
1.369878,1.149999,-696,19476,0,124,0,108,898,9076,0,116,0,116,0,108,130.000000
1.381866,1.159999,-705,19480,0,128,0,112,897,9080,0,116,0,116,0,112,130.000000
1.393648,1.169999,-744,19476,0,128,0,112,895,9080,0,116,0,116,0,108,129.000000
1.404800,1.179999,-682,19480,0,124,0,112,897,9080,0,112,0,116,0,112,129.000000
1.417138,1.189999,-714,19480,0,128,0,112,875,9076,0,116,0,120,0,112,128.000000
1.428807,1.199999,-706,19480,0,128,0,112,875,9076,0,112,0,112,0,112,127.000000
1.439652,1.209999,-670,19484,0,124,0,108,875,9080,0,112,0,116,0,112,126.000000
1.450844,1.219999,-705,19480,0,124,0,112,876,9084,0,116,0,116,0,112,125.000000
1.463620,1.229999,-704,19480,0,128,0,108,877,9080,0,116,0,116,0,116,124.000000
1.474187,1.239999,-704,19476,0,124,0,112,877,9080,0,116,0,116,0,116,123.000000
1.484342,1.249999,-673,19480,0,128,0,112,876,9080,0,112,0,112,0,112,121.000000
1.495274,1.259999,-698,19480,0,128,0,108,873,9080,0,116,0,116,0,116,120.000000
1.506385,1.269999,-727,19476,0,128,0,112,875,9080,0,116,0,116,0,116,118.000000
1.516528,1.279999,-689,19484,0,124,0,108,851,9080,0,116,0,116,0,116,117.000000
1.526999,1.289999,-676,19480,0,128,0,112,851,9080,0,116,0,116,0,112,115.000000
1.538203,1.299999,-700,19484,0,128,0,112,850,9080,0,116,0,116,0,112,113.000000
1.548339,1.309999,-665,19484,0,124,0,112,852,9080,0,116,0,116,0,112,111.000000
1.558442,1.319999,-688,19484,0,128,0,112,852,9076,0,112,0,116,0,108,109.000000
1.570544,1.329999,-693,19480,0,128,0,112,851,9080,0,112,0,112,0,112,107.000000
1.582453,1.339999,-691,19480,0,128,0,112,851,9080,0,112,0,116,0,112,105.000000
1.595520,1.349999,-660,19484,0,128,0,108,852,9080,0,112,0,116,0,112,102.000000
1.607093,1.359999,-688,19480,0,128,0,108,853,9080,0,112,0,116,0,112,100.000000
1.618417,1.369999,-698,19484,0,128,0,108,830,9076,0,116,0,116,0,112,97.000000
1.629071,1.379999,-651,19492,0,128,0,112,830,9084,0,116,0,116,0,112,94.000000
1.640248,1.389999,-669,19488,0,128,0,112,830,9080,0,116,0,116,0,112,91.000000
1.651883,1.399999,-689,19480,0,128,0,112,830,9080,0,112,0,116,0,112,88.000000
1.662554,1.409999,-663,19488,0,128,0,112,830,9076,0,116,0,116,0,116,85.000000
1.673618,1.419999,-676,19484,0,124,0,108,827,9080,0,116,0,116,0,112,82.000000
